Student_ID,Class_ID,Letter_Grade,Grade_Level,Credit_Type,Credit_Awarded,Credit_Potential
1001,1,D,11,ELA,0.62,0.72
1001,3,D,11,SCI,0.81,1.28
1001,2,F,11,MTH,0.0,0.6
1002,5,B,12,ART,0.79,1.39
1002,2,A,12,MTH,0.52,0.6
1003,5,B,9,ART,0.71,1.39
1003,4,B,9,SS,0.69,1.16
1004,4,B,9,SS,0.91,1.16
1004,5,C,9,ART,0.86,1.39
1004,3,D,9,SCI,0.89,1.28
1005,5,B,10,ART,0.97,1.39
1005,4,A,10,SS,0.9,1.16
1006,4,F,12,SS,0.0,1.16
1006,5,C,12,ART,1.36,1.39
1006,3,F,12,SCI,0.0,1.28
1007,1,B,12,ELA,0.5,0.72
1007,2,D,12,MTH,0.59,0.6
1008,3,D,12,SCI,0.71,1.28
1008,1,D,12,ELA,0.52,0.72
1008,4,P,12,SS,0.95,1.16
1009,2,C,12,MTH,0.51,0.6
1009,5,F,12,ART,0.0,1.39
1010,5,F,9,ART,0.0,1.39
1010,1,C,9,ELA,0.66,0.72
1010,2,C,9,MTH,0.59,0.6
1011,4,D,12,SS,0.92,1.16
1011,2,P,12,MTH,0.54,0.6
1011,5,D,12,ART,0.99,1.39
1012,2,B,9,MTH,0.51,0.6
1012,3,P,9,SCI,0.51,1.28
1012,5,C,9,ART,1.12,1.39
1013,1,P,11,ELA,0.0,0.72
1013,4,P,11,SS,0.63,1.16
1014,4,B,10,SS,0.72,1.16
1014,3,A,10,SCI,1.06,1.28
1014,5,C,10,ART,0.92,1.39
1015,5,C,11,ART,0.75,1.39
1015,3,D,11,SCI,0.77,1.28
1015,2,A,11,MTH,0.56,0.6
1016,1,C,11,ELA,0.71,0.72
1016,2,D,11,MTH,0.55,0.6
1017,1,P,10,ELA,0.67,0.72
1017,3,A,10,SCI,0.68,1.28
1018,1,C,11,ELA,0.54,0.72
1018,3,F,11,SCI,0.0,1.28
1019,3,B,10,SCI,1.02,1.28
1019,4,B,10,SS,0.88,1.16
1020,3,B,9,SCI,1.1,1.28
1020,5,P,9,ART,0.0,1.39
1021,1,C,12,ELA,0.59,0.72
1021,4,C,12,SS,0.73,1.16
1021,2,A,12,MTH,0.5,0.6
1022,4,B,10,SS,0.84,1.16
1022,5,D,10,ART,1.23,1.39
1022,2,D,10,MTH,0.51,0.6
1023,4,F,9,SS,0.0,1.16
1023,1,A,9,ELA,0.55,0.72
1023,2,A,9,MTH,0.58,0.6
1024,1,F,9,ELA,0.0,0.72
1024,5,B,9,ART,1.18,1.39
1025,1,B,11,ELA,0.68,0.72
1025,3,D,11,SCI,0.78,1.28
1026,1,P,10,ELA,0.72,0.72
1026,2,F,10,MTH,0.0,0.6
1026,3,A,10,SCI,0.64,1.28
1027,2,D,12,MTH,0.59,0.6
1027,4,C,12,SS,0.57,1.16
1028,1,A,9,ELA,0.58,0.72
1028,5,F,9,ART,0.0,1.39
1029,1,C,10,ELA,0.57,0.72
1029,5,C,10,ART,0.65,1.39
1029,3,A,10,SCI,0.76,1.28
1030,1,B,10,ELA,0.53,0.72
1030,4,F,10,SS,0.0,1.16
1030,2,D,10,MTH,0.6,0.6
1031,4,A,10,SS,0.91,1.16
1031,1,B,10,ELA,0.7,0.72
1031,3,B,10,SCI,0.76,1.28
1032,3,D,10,SCI,0.86,1.28
1032,5,B,10,ART,1.17,1.39
1033,4,C,10,SS,0.79,1.16
1033,2,A,10,MTH,0.51,0.6
1033,5,C,10,ART,0.99,1.39
1034,1,B,10,ELA,0.57,0.72
1034,5,D,10,ART,0.92,1.39
1034,4,D,10,SS,0.99,1.16
1035,3,P,11,SCI,1.26,1.28
1035,1,P,11,ELA,0.64,0.72
1035,4,F,11,SS,0.0,1.16
1036,2,C,10,MTH,0.59,0.6
1036,1,D,10,ELA,0.64,0.72
1036,5,C,10,ART,0.87,1.39
1037,3,P,9,SCI,1.25,1.28
1037,2,F,9,MTH,0.0,0.6
1038,2,F,12,MTH,0.0,0.6
1038,1,P,12,ELA,0.52,0.72
1038,4,B,12,SS,0.95,1.16
1039,1,P,10,ELA,0.69,0.72
1039,5,C,10,ART,0.95,1.39
1039,4,D,10,SS,0.55,1.16
1040,5,A,11,ART,1.13,1.39
1040,4,D,11,SS,1.09,1.16
1040,1,P,11,ELA,0.0,0.72
1041,2,A,11,MTH,0.52,0.6
1041,5,C,11,ART,0.85,1.39
1042,2,B,9,MTH,0.59,0.6
1042,1,C,9,ELA,0.56,0.72
1043,3,B,12,SCI,0.74,1.28
1043,4,P,12,SS,0.84,1.16
1044,4,F,12,SS,0.0,1.16
1044,3,D,12,SCI,0.78,1.28
1045,4,C,12,SS,0.76,1.16
1045,2,A,12,MTH,0.54,0.6
1045,3,B,12,SCI,1.23,1.28
1046,3,D,11,SCI,0.97,1.28
1046,4,C,11,SS,0.75,1.16
1046,5,F,11,ART,0.0,1.39
1047,1,C,9,ELA,0.64,0.72
1047,5,C,9,ART,1.35,1.39
1048,4,C,11,SS,0.73,1.16
1048,5,C,11,ART,0.76,1.39
1049,5,C,11,ART,1.23,1.39
1049,2,C,11,MTH,0.55,0.6
1050,2,B,12,MTH,0.54,0.6
1050,1,B,12,ELA,0.72,0.72
